Index,Value_1,Value_2,Value_3
7.49955181432e-05,162.21998,354.62849,473.38134
7.51683791432e-05,172.49658,344.85379,364.88245
7.53412401432e-05,166.66937,346.2199,357.59631
7.55141011432e-05,157.02792,336.21834,303.00109
7.56869621432e-05,148.50128,341.51366,332.16022
7.58598231432e-05,139.98026,334.23504,328.73576
7.60326841432e-05,142.74396,339.47617,336.64245
7.62055451432e-05,146.72674,328.12344,321.84747
7.63784061432e-05,130.09628,343.82309,303.68807
7.65512671432e-05,141.11162,337.00682,319.96163
7.67241281432e-05,146.5124,340.20442,325.04633
7.68969891432e-05,146.31854,344.51503,326.56547
7.70698501432e-05,147.53793,344.13834,322.11262
7.72427111432e-05,151.88446,347.01644,332.30282
7.74155721432e-05,156.91952,351.8888,340.4845
7.75884331432e-05,162.46742,357.05245,349.45404
7.77612941432e-05,153.28886,357.63635,346.20282
7.79341551432e-05,158.74216,350.20256,356.9913
7.81070161432e-05,153.13045,348.67505,322.15873
7.82798771432e-05,132.98317,327.0767,253.76712
7.84527381432e-05,135.01026,339.86791,290.06357
7.86255991432e-05,116.72725,328.36276,243.41106
7.87984601432e-05,123.91437,332.2231,255.81992
7.89713211432e-05,127.05589,332.57003,261.00367
7.91441821432e-05,125.26575,329.46982,276.70927
7.93170431432e-05,118.19762,324.52429,261.34287
7.94899041432e-05,125.3299,331.86984,276.16544
7.96627651432e-05,124.74424,318.03283,283.39316
7.98356261432e-05,160.02901,367.51784,325.91248
8.00084871432e-05,174.32335,371.41049,350.85383
8.01813481432e-05,177.62173,376.59836,359.16485
8.03542091432e-05,180.08261,378.08339,355.17883
8.05270701432e-05,155.50742,370.95254,318.41553
8.06999311432e-05,164.52467,368.95346,331.56154
8.08727921432e-05,159.35645,371.31769,321.03216
8.10456531432e-05,158.85517,371.42131,319.08866
8.12185141432e-05,159.969,374.51943,323.62496
8.13913751432e-05,148.53314,365.53028,313.89963
8.15642361432e-05,128.85713,356.46071,278.41719
8.17370971432e-05,136.36288,355.20271,290.94902
8.19099581432e-05,142.62208,358.15685,296.91383
8.20828191432e-05,135.11945,356.10903,286.27568
8.22556801432e-05,139.41348,361.76551,294.98597
8.24285411432e-05,132.30635,381.54238,357.83118
8.26014021432e-05,148.54891,368.82521,341.97641
8.27742631432e-05,156.14865,359.32437,365.72744
8.29471241432e-05,156.36877,355.02412,360.69936
